NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Schmeler,96,94,4,3,1820000
Cremin,83,71,3,-3,1337000
Gislason,91,92,-2,1,1907000
Rice,79,93,0,-3,1300000
Harber,98,84,2,-2,1250000
Hayes,74,95,4,0,1653000
Towne,99,95,2,3,1852000
Hoppe,75,98,4,-2,1922000
Bashirian,95,85,2,-1,2125000
Swaniawski,89,75,1,3,1727000
Barrows,88,77,3,2,1805000
Hodkiewicz,70,71,-2,3,1682000
Corwin,71,97,4,2,1777000
Steuber,89,89,-1,1,1109000
Feeney,72,94,-1,0,1489000
Schulist,89,81,0,-1,1882000
Jacobs,89,72,0,1,1678000
Mayert,89,83,-2,-3,1281000
Greenfelder,92,97,3,1,1702000
Mueller,71,84,0,3,1477000
Littel,87,82,-1,2,1985000
Bahringer,91,93,2,-1,1659000
Zboncak,83,87,-1,-3,2116000
Howell,93,87,4,2,1528000
Stracke,88,71,4,-3,1909000
Dach,79,88,4,4,1403000
Daniel,99,93,-2,3,1454000
Witting,79,93,2,3,1959000
Beier,87,87,4,-3,2068000
Turcotte,78,75,4,2,1638000
Olson,77,75,-2,-2,1573000
Tremblay,99,93,-3,1,1195000
Tillman,73,95,-3,2,1795000
Runolfsdottir,75,83,2,0,1941000
Turner,70,92,1,3,2067000
Howe,71,81,0,1,1801000
Schuster,89,79,0,-1,1944000
Mills,97,77,4,-2,1411000
Halvorson,82,97,2,0,1132000
Lubowitz,85,79,3,-1,2032000
Zieme,78,97,1,0,1943000
Ortiz,79,76,-2,4,1267000
Weissnat,90,72,2,4,2148000
Gusikowski,72,77,2,2,2074000
Gutkowski,99,89,1,2,1133000
Hartmann,99,74,2,1,1961000
Donnelly,80,73,0,1,1517000
Stoltenberg,77,81,1,-1,1663000
Prohaska,87,75,1,3,1942000
Howe,73,78,4,-3,1191000
Gaylord,72,80,-1,3,1736000
Howell,73,94,3,0,2017000
West,81,76,3,-3,1604000
Strosin,78,99,-2,-1,1146000
Yundt,70,86,3,1,1305000
Collier,78,89,4,0,1979000
Simonis,91,76,1,-1,1780000
Connelly,89,87,3,1,1512000
Gleichner,94,82,3,-2,1286000
Kassulke,70,88,-2,-3,1588000
Konopelski,80,89,-2,3,1519000
Reilly,85,90,1,2,2060000
Schaden,72,77,-3,0,1319000
Roberts,94,72,-2,2,1426000
Mayert,97,80,4,2,1326000
Waelchi,92,98,-2,-2,1911000
Kovacek,74,99,-3,-2,1671000
Lesch,88,75,0,0,1404000
Gaylord,93,95,2,-2,1843000
Becker,86,88,-2,3,2029000
Rodriguez,71,91,2,-2,1730000
Schulist,76,81,-3,-1,2141000
Carroll,71,79,2,-1,1363000
Gulgowski,91,75,0,0,1817000
Nader,96,86,1,-1,1130000
Wisoky,90,83,0,1,1212000
Wilderman,77,76,4,1,1711000
Hammes,90,86,3,2,1412000
McCullough,80,83,-1,-3,1541000
Brakus,74,95,-2,4,2197000
Nader,79,84,-1,-1,1314000
Kassulke,73,73,4,2,1390000
Hartmann,89,81,4,-3,2180000
Becker,88,98,3,3,1348000
Shields,99,92,-3,-3,1147000
Lemke,99,98,4,2,1707000
Mosciski,85,70,2,4,1568000
Koelpin,72,78,1,4,1445000
Trantow,72,94,-2,2,1117000
Runte,93,74,-3,-1,1277000
Dicki,93,92,-3,2,2167000
Kiehn,86,83,3,2,1987000
Kunde,74,93,4,-2,1854000
Bins,80,82,0,-2,1822000
Hickle,99,98,-2,-1,1107000
Jerde,74,98,-1,-3,1657000
Adams,88,72,1,2,2089000
Smitham,72,95,3,-2,1970000
Cummerata,81,86,2,4,1347000
Fahey,86,97,2,-2,1576000
Klein,99,71,-2,0,2103000
Hermiston,79,96,2,-1,1212000
Jenkins,90,76,4,2,1762000
Leannon,76,81,2,4,1506000
Thiel,85,90,-1,1,1524000
Langworth,73,86,0,-1,2048000
Howe,71,84,4,-2,1241000
Little,86,72,-2,-3,2148000
Langosh,81,73,3,3,1758000
Fritsch,76,82,2,4,1755000
Lueilwitz,72,83,1,3,1424000
Lesch,98,91,-3,0,1145000
Armstrong,84,97,-2,-1,1975000
Hintz,87,80,-3,4,1553000
Gorczany,71,83,2,0,1257000
Veum,89,71,3,3,1770000
Steuber,85,82,3,-3,1370000
Runte,88,93,0,3,2083000
Skiles,78,85,-1,-1,1450000
Franecki,77,99,2,2,1945000
Labadie,76,81,1,1,1407000
Beahan,87,89,4,3,1945000
Leffler,71,96,0,4,1343000
Lowe,93,80,1,3,1797000
Kemmer,76,94,-1,-2,1669000
Parker,97,86,2,0,1832000
Schroeder,94,99,-1,0,1933000
Weissnat,95,87,2,1,1161000
Farrell,89,74,-1,4,2071000
Blanda,74,93,-2,2,1878000
Wisozk,86,79,3,4,2148000
Reichert,78,80,-2,-3,1145000
Blick,71,97,3,4,1195000
Jones,98,78,-2,-3,1276000
Fadel,97,72,-1,1,1540000
Stoltenberg,82,85,3,-3,1833000
Hansen,77,93,-3,-2,2041000
Schimmel,82,78,4,2,2169000
Bailey,98,77,-3,-3,1447000
Muller,87,85,-3,4,1568000
Renner,87,77,4,-3,1471000
Mayer,90,78,-1,0,1484000
Erdman,91,76,0,0,1151000
Feil,85,98,1,0,1609000
O'Keefe,74,92,4,0,1270000
Johnson,91,91,1,-2,1347000
Reinger,71,76,0,-1,1283000
Schuppe,82,98,0,0,1477000
O'Keefe,84,88,0,0,1261000
Wiza,77,97,3,-1,1766000
Feest,95,86,4,0,1984000
Batz,99,89,-1,-3,1951000
Stroman,77,91,-1,-3,1777000
Renner,95,80,3,2,1829000
Beier,82,75,1,4,1529000
Raynor,72,81,4,3,1784000
Strosin,84,82,3,1,1271000
Ortiz,74,74,3,-1,2112000
Kassulke,73,98,4,2,1855000
VonRueden,81,74,-2,-2,1546000
Graham,96,91,0,0,1449000
Champlin,74,85,2,2,1857000
Kunde,84,94,2,4,1900000
Kessler,83,91,-2,-3,1207000
Cremin,72,72,0,1,2035000
Hackett,83,76,-3,1,1697000
Bogan,71,80,4,-3,1762000
Kuhlman,77,99,2,-1,1548000
Kozey,81,95,4,-1,2110000
Balistreri,94,76,0,-1,1318000
VonRueden,88,73,-1,-1,1250000
Runolfsdottir,93,90,-3,-2,1351000
VonRueden,84,79,2,-3,1871000
Stracke,74,82,0,1,1688000
Lindgren,89,70,-3,1,2007000
Wisoky,87,91,4,-1,1544000
Murazik,79,90,-1,0,1944000
Schmeler,96,89,-2,-1,1323000
Bartoletti,72,88,3,3,1436000
Gaylord,84,99,4,-3,1750000
Botsford,82,96,4,4,1663000
Mann,81,75,1,4,1767000
Murazik,76,84,-2,-3,1114000
Reinger,75,92,4,1,1148000
Abernathy,76,70,-3,0,1792000
Feil,71,88,0,3,1157000
Reilly,95,76,-3,1,1813000
Kessler,78,72,4,4,1729000
Langosh,83,73,-2,-3,2057000
Reichel,78,86,0,-3,1799000
Wilkinson,87,83,-1,2,1397000
Romaguera,85,90,3,-3,1868000
Will,93,71,-3,0,2046000
Pagac,94,95,0,3,1481000
Wunsch,87,73,0,-1,1239000
Simonis,91,79,1,0,1132000
Hickle,98,89,-1,1,1918000
Labadie,79,80,-2,4,1643000
Christiansen,93,95,3,4,1830000
Greenholt,71,92,-2,0,1375000
Prohaska,92,70,3,3,1767000
Stroman,83,93,2,4,1820000
Koepp,83,95,-3,1,2008000
Roberts,84,84,-2,1,1219000
Graham,86,81,-1,1,2180000
Blick,90,95,2,-2,1958000
Romaguera,74,93,-3,-2,1305000
Schoen,93,92,4,2,1316000
Schneider,78,72,0,-1,1869000
Bashirian,99,87,-3,2,2085000
Witting,98,76,2,0,1752000
Keebler,98,81,-2,-3,1304000
Powlowski,84,93,3,2,2122000
Hodkiewicz,88,82,4,2,2121000
Batz,80,98,-2,1,1266000
Moen,74,87,4,-3,1874000
Turcotte,79,89,-2,-2,2130000
Ledner,95,74,-1,1,1780000
Dicki,73,89,3,-1,1218000
Jacobs,78,70,-3,-3,1456000
Fritsch,86,96,-2,4,1732000
Lind,80,96,4,-1,1782000
Braun,73,97,0,0,1964000
Koch,81,79,-1,2,1717000
Von,77,88,1,-3,1241000
Jast,88,77,2,4,1443000
Wiza,89,70,1,1,1161000
Corkery,97,98,-1,0,1632000
Swift,89,77,-2,3,1609000
Thompson,90,88,1,-2,1251000
Runte,81,90,0,4,1639000
Howe,76,84,-2,0,1895000
Bayer,86,93,-3,1,1454000
Donnelly,85,70,3,-3,1615000
Stehr,97,73,-3,1,1406000
Sipes,79,80,4,3,1375000
Hilll,89,99,2,-1,1980000
