NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Jaskolski,78,90,-2,2,1542000
Deckow,85,79,-2,3,2124000
Armstrong,77,77,2,1,1253000
Wolf,94,98,-3,2,1440000
Koss,70,81,-1,-2,2190000
Bradtke,84,79,-3,1,2170000
Stehr,85,75,0,2,1233000
Hermann,73,89,-2,0,1392000
Kohler,82,77,-3,0,1541000
Lynch,76,85,-3,-3,2043000
Berge,81,81,3,-2,1191000
Bahringer,99,95,2,3,1120000
Renner,79,81,-1,0,2046000
Donnelly,99,73,-3,4,1669000
Ernser,87,88,2,2,1560000
Considine,83,83,-1,1,1295000
Jenkins,82,85,0,-1,1851000
Block,98,90,0,-3,1355000
Monahan,92,97,0,0,1315000
Herman,87,93,-2,1,1264000
Lowe,88,72,3,4,1534000
Price,92,93,4,2,1360000
Pollich,82,84,-2,3,1747000
Cole,83,84,1,-2,2158000
Nolan,74,70,2,3,2027000
Fritsch,93,83,2,-1,1454000
Little,92,90,0,3,1806000
Bauch,70,93,-1,-2,1475000
Dach,89,98,-3,0,1557000
Gerhold,86,71,-1,1,1776000
Champlin,90,90,-1,0,1783000
Ebert,70,70,4,3,1690000
Goyette,84,86,1,0,1952000
Hagenes,78,97,2,4,1611000
Baumbach,79,85,-2,2,1711000
Yost,97,96,-1,1,1929000
Jaskolski,82,78,0,0,1284000
Kunze,94,72,0,0,1622000
Heathcote,82,96,2,1,1372000
Mante,90,89,3,3,1261000
Luettgen,94,75,-2,-2,1870000
Johnston,94,74,-3,1,2164000
Armstrong,84,71,-3,-1,1386000
Roob,84,81,3,-1,1904000
Streich,96,85,2,4,2050000
Beahan,99,96,4,-1,1217000
McKenzie,77,85,2,-3,1473000
Haley,94,75,-1,3,1477000
Botsford,79,83,-3,4,1420000
Graham,81,75,0,1,1590000
Homenick,90,84,-3,1,1143000
Ernser,85,79,-1,-3,1561000
Reichert,93,89,-2,-2,2085000
Lowe,77,99,4,-3,2097000
Aufderhar,89,75,0,3,1993000
Fay,89,84,1,-3,1225000
Hamill,86,82,-2,-3,1865000
Pfannerstill,71,84,3,1,2183000
Fadel,75,90,4,3,1591000
Green,94,74,-3,3,1982000
Schowalter,97,71,-2,3,1706000
Schulist,89,71,-3,0,1290000
Paucek,96,87,-1,-2,1904000
Shanahan,74,77,-2,2,1193000
Robel,93,78,-2,1,1249000
Ullrich,96,90,3,1,1991000
Schumm,74,89,-2,-3,1245000
Bernier,79,78,0,4,2065000
Marks,74,75,3,2,1824000
Deckow,91,81,3,0,1125000
Bayer,91,97,0,-3,1507000
Zulauf,96,83,1,4,1362000
Tremblay,88,90,3,4,1936000
Williamson,94,84,1,2,1426000
Thiel,89,87,-3,1,1716000
Gutkowski,90,93,2,-2,1815000
Wisozk,81,81,-2,2,2023000
Davis,87,91,4,1,1645000
Robel,98,88,4,2,1396000
Renner,75,89,-2,1,1200000
Hartmann,81,87,2,3,1732000
Dickens,99,79,0,1,1575000
Rolfson,86,70,1,1,2172000
Wuckert,84,88,-1,-1,1463000
Hettinger,91,81,0,2,1578000
Maggio,88,73,1,1,1266000
Raynor,90,83,1,0,1755000
Larkin,98,81,-2,1,1444000
Romaguera,79,71,2,4,1987000
Funk,99,77,-1,3,1708000
Luettgen,71,94,-2,2,1591000
Ortiz,89,71,0,-1,2015000
Adams,88,82,-2,0,1506000
Collins,96,70,-1,0,1819000
Schulist,82,83,-2,1,2150000
Hills,84,82,0,-2,1233000
Little,72,80,0,-1,1301000
Schmidt,88,82,-3,-2,1155000
Connelly,94,81,3,1,1711000
Hayes,96,83,-1,1,1715000
Mertz,75,91,-3,-2,1943000
Breitenberg,80,85,1,2,1456000
Becker,71,84,-1,4,1990000
Hudson,78,86,-2,-2,1588000
Schmeler,73,94,4,-1,1417000
Weissnat,74,82,-1,1,1614000
Schamberger,94,80,-1,2,1696000
Lindgren,87,74,-2,-1,2128000
Rowe,76,93,4,3,1264000
Roob,93,85,1,4,1922000
Halvorson,94,95,1,3,1170000
Kessler,93,78,-2,-1,2004000
Wolf,87,83,-2,1,1477000
King,70,97,-1,-2,1432000
Macejkovic,97,74,3,1,1276000
Stracke,74,99,4,2,1796000
Jenkins,85,97,2,1,1706000
Ullrich,84,88,2,4,2136000
Cassin,91,98,-1,4,2179000
Blick,91,76,3,0,1510000
Toy,98,99,4,-2,1702000
Stanton,81,94,1,4,1817000
O'Kon,75,89,1,3,1741000
Russel,77,88,4,-1,1630000
Sporer,88,72,-1,4,1627000
Simonis,91,82,4,4,1828000
Weimann,94,88,0,-2,2068000
Spinka,93,82,1,2,1968000
Borer,73,85,-2,-2,1939000
Jaskolski,72,99,0,1,1200000
Kunze,79,86,1,4,2167000
Pacocha,92,98,-1,1,1579000
Koch,81,85,4,3,1742000
Kreiger,89,87,2,-3,1826000
Wilkinson,93,75,-2,-1,1261000
O'Keefe,92,83,1,-2,1750000
Stark,96,89,-1,0,1521000
Prosacco,73,76,-3,3,1170000
Ziemann,82,99,-3,4,1261000
McDermott,94,81,3,3,2065000
Littel,75,91,-3,4,1364000
Grant,86,99,4,-2,1546000
Crooks,95,81,-3,-3,1382000
Crist,97,92,1,1,1963000
Skiles,99,92,-1,3,1151000
Hilpert,95,88,-3,-1,1364000
Prohaska,85,83,0,3,1955000
