NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Romaguera,92,93,3,-1,1388000
Rogahn,79,85,-2,1,1159000
Kuphal,89,88,0,-2,1475000
Schiller,79,89,0,3,1553000
Klocko,98,93,3,-3,1747000
Mosciski,94,82,4,-1,1191000
Pouros,84,80,3,4,1331000
Fritsch,72,97,1,-2,1829000
Hermann,87,78,3,4,2011000
Hills,75,99,4,1,1914000
DuBuque,80,73,-2,1,1279000
Considine,86,71,2,3,1794000
Koss,82,79,4,1,1547000
Langosh,97,73,2,-3,1189000
Klocko,88,81,4,4,1222000
Jacobs,80,89,0,-2,1853000
Streich,82,77,-3,3,1216000
Hackett,97,88,-1,4,2019000
Johns,70,74,-1,-2,1976000
Osinski,75,81,-1,2,1435000
Haley,72,96,2,2,1166000
Cartwright,91,91,3,-3,2136000
Herzog,96,85,2,2,1986000
Frami,97,82,2,1,2066000
Franecki,91,76,4,1,1283000
Schmeler,75,74,3,1,1456000
Koch,91,87,3,1,2066000
Kerluke,82,84,-2,2,2038000
Feil,88,87,1,3,1348000
Becker,86,70,4,-2,1708000
Ritchie,70,88,1,2,1942000
Miller,78,80,3,1,1117000
Keeling,86,95,-3,1,1331000
White,88,75,0,0,1825000
Ernser,91,76,2,0,1554000
Stamm,81,93,2,-2,1431000
Beier,88,94,-2,-2,1569000
Kautzer,88,97,-3,1,1535000
Robel,85,80,-3,3,1857000
Cronin,82,92,4,4,1860000
Purdy,91,72,0,-1,1190000
Reichert,78,80,-1,2,1161000
King,70,91,-3,-3,1431000
Rippin,74,74,4,4,1615000
Quitzon,72,71,4,0,1797000
Frami,70,91,2,4,1637000
Harvey,85,92,1,1,1452000
Runolfsson,94,99,3,-3,2196000
Pagac,86,79,-3,0,1305000
DuBuque,96,72,-3,-2,1260000
Hintz,92,82,2,-3,1369000
Lynch,94,91,4,-3,1954000
Kuvalis,96,85,-1,-3,1901000
Christiansen,79,98,-3,3,1252000
Durgan,87,92,4,0,1969000
Kuphal,85,72,1,0,1244000
O'Kon,83,77,0,2,1705000
Borer,85,98,1,0,1372000
Crooks,78,76,0,2,1529000
Funk,88,73,0,2,1266000
Conn,71,77,4,-1,1654000
Hartmann,98,83,-2,0,2116000
Stamm,81,93,-1,-1,2143000
Berge,80,78,3,1,1155000
Stroman,72,83,4,4,1725000
Legros,86,77,4,-1,2159000
Crona,78,91,-3,3,1858000
Collier,79,89,4,-1,1536000
Kris,74,72,3,0,1780000
Carter,86,94,0,-1,1693000
Haley,73,72,-1,3,1677000
Glover,80,71,4,2,1844000
Rutherford,71,72,0,1,1308000
Tremblay,99,79,2,-3,1229000
McDermott,78,70,4,4,1729000
Goodwin,87,93,0,0,2194000
Predovic,94,83,0,1,2152000
Leannon,94,97,0,3,1628000
Dach,87,92,-2,2,1237000
Dibbert,99,74,0,1,1135000
Durgan,71,82,2,1,1937000
MacGyver,96,88,-3,3,1477000
Zieme,85,88,0,-3,1145000
Schinner,77,77,-3,-1,1391000
Hartmann,79,94,0,0,1779000
Connelly,77,95,0,0,1724000
Stroman,99,78,4,3,1551000
Little,89,71,1,-3,1182000
Abernathy,97,95,1,0,1531000
Daniel,82,92,4,-3,1973000
Quigley,90,88,-2,3,1270000
Robel,84,70,3,0,1577000
Hessel,91,89,4,-2,1250000
Thompson,97,75,2,0,1867000
Schmeler,71,75,2,0,1541000
Armstrong,85,82,-3,0,1454000
Moore,92,92,0,1,1180000
Durgan,94,87,-1,4,1889000
O'Keefe,79,97,-2,2,2127000
Frami,90,90,2,-1,1206000
Bogan,81,84,-1,2,2041000
Blanda,77,76,-1,-1,1692000
Denesik,72,77,3,-1,2057000
Tillman,93,86,-3,3,1933000
Brakus,84,85,1,1,1586000
Lehner,88,94,-1,-2,1879000
Dach,80,84,2,-3,1420000
Mosciski,80,76,-3,4,2098000
Trantow,83,89,1,0,1916000
Carroll,98,90,3,3,1107000
Waelchi,92,92,-1,2,2083000
Smitham,96,71,3,-1,1919000
Renner,88,70,4,4,1777000
Fisher,95,83,2,-3,1344000
Gerlach,72,86,3,1,1364000
Kessler,93,94,2,1,1465000
Lockman,97,72,-2,-1,1161000
Conn,97,78,-3,-2,1744000
Collier,94,72,2,2,1147000
Mueller,70,99,0,-3,1740000
Goodwin,87,95,-1,4,1409000
Mann,95,89,-1,-2,1918000
Hand,83,81,4,2,1624000
Huels,76,90,-1,2,1784000
Goyette,73,70,2,-3,1512000
Conroy,91,81,3,1,1924000
Wisoky,76,76,3,4,1395000
Herman,89,74,-1,1,2017000
Rolfson,97,89,-3,-1,1923000
Quitzon,79,78,2,-2,1783000
Rolfson,92,92,-1,-1,1725000
Rath,73,74,3,2,1420000
Wuckert,96,94,3,-1,1387000
