NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Terry,74,81,4,-3,1326000
Gaylord,91,76,-1,4,1316000
Huels,95,92,3,-3,1335000
Jerde,81,84,2,-1,1486000
Nader,92,71,0,0,1747000
Satterfield,95,81,-2,0,1968000
Littel,79,91,-1,-3,1228000
Strosin,98,97,-3,3,2121000
Kling,71,75,0,4,1850000
Graham,76,84,-3,-3,1459000
Mante,80,88,-2,-1,2181000
Torp,97,91,4,-1,1769000
Anderson,94,98,0,1,2167000
Leuschke,73,71,0,2,1673000
Huels,71,82,-2,1,1245000
Mueller,78,73,3,2,2114000
Ferry,93,85,-3,3,1851000
Feest,82,78,2,-3,2055000
Boyer,75,86,4,2,1612000
Pollich,99,90,-1,-1,1806000
Bernhard,94,77,-2,-3,2075000
Schimmel,81,95,-3,3,1260000
Nitzsche,87,73,-1,1,2192000
Mann,90,95,-1,-3,1933000
Borer,90,86,0,3,1704000
Lindgren,87,91,-3,2,1969000
Schneider,90,86,0,0,2061000
Bashirian,80,78,2,3,1134000
Bosco,85,81,1,-2,1618000
Rippin,72,81,2,1,1670000
Prohaska,92,97,-1,1,1218000
Schulist,85,93,2,-2,1245000
Stamm,82,91,-1,3,1278000
Kuhn,85,79,-1,-2,1750000
Abernathy,91,89,-3,4,1297000
Dickens,78,83,-2,-2,2091000
Crist,93,99,0,1,1132000
Heller,73,97,-3,-1,1983000
Lemke,74,91,-2,1,1255000
Kozey,91,81,0,1,1270000
Bednar,74,85,0,3,1754000
Goldner,88,87,-3,-1,2042000
Quigley,72,75,-2,2,1869000
Ruecker,72,75,0,4,1567000
Haley,95,98,2,0,1807000
Okuneva,78,85,0,1,1117000
Carter,82,87,3,-2,1275000
Koch,83,86,2,4,1409000
Ledner,90,95,2,-2,1767000
Crooks,80,72,0,-3,1847000
Witting,77,99,1,-1,1957000
Lubowitz,90,99,-2,-1,1931000
Streich,94,93,4,0,1568000
Dietrich,82,80,-2,-2,1777000
Lowe,83,74,-1,-3,1906000
Stanton,81,80,-2,0,1664000
Fadel,70,80,0,-2,2139000
Spinka,91,98,3,1,1688000
Harvey,72,97,2,2,1339000
Nitzsche,94,74,1,3,1739000
Kling,82,86,0,2,1988000
Berge,70,92,1,0,1471000
Bechtelar,89,92,-3,-1,1186000
Hamill,99,85,-3,0,1415000
Deckow,95,98,-3,4,2080000
Kuvalis,85,97,-3,-2,1908000
Pacocha,79,94,1,-2,1169000
Leuschke,80,95,-2,4,1410000
Lesch,90,74,0,4,1407000
Kemmer,86,84,3,3,2043000
Littel,88,74,2,-2,2127000
Wunsch,98,98,2,4,1530000
Bashirian,80,84,2,1,1300000
Schamberger,85,97,1,4,1572000
Cartwright,89,85,3,0,1950000
Jacobson,79,95,4,2,1222000
Bechtelar,99,89,4,4,1881000
Becker,97,90,-1,-2,1963000
Fisher,74,94,-3,0,1562000
Reynolds,70,76,-1,0,1374000
Boyle,90,85,-1,2,1950000
Muller,98,77,0,-1,1251000
Leannon,71,77,-2,1,1490000
Adams,95,80,0,-1,1727000
Walsh,72,94,3,2,2108000
Kertzmann,85,76,1,0,1617000
Towne,85,74,3,4,2153000
VonRueden,70,92,3,-3,1162000
Leannon,70,99,4,-1,1299000
Hauck,92,99,2,-1,1186000
White,81,88,-1,0,1829000
Ortiz,81,82,1,4,1307000
Greenfelder,84,82,0,2,1460000
O'Keefe,79,95,3,3,1161000
Douglas,82,80,4,-3,1229000
Kovacek,72,74,4,3,1195000
Wehner,86,80,4,-2,1352000
Heathcote,82,80,4,-2,1716000
Lehner,88,90,0,0,1241000
Sanford,73,77,-2,1,1537000
Kirlin,81,72,3,-2,2181000
Satterfield,84,98,-3,-2,1754000
Christiansen,89,85,-2,3,2076000
Dare,79,82,2,-2,2188000
Dibbert,70,72,0,3,1530000
Boyer,82,84,0,3,1573000
Yundt,74,90,3,-1,1947000
Parisian,71,90,3,-2,1398000
Price,72,97,4,0,2032000
Dooley,70,76,4,2,1977000
Abshire,80,78,1,-3,1425000
Bartell,88,95,4,4,1297000
Rempel,82,94,0,-2,1226000
Cruickshank,94,82,-1,1,1960000
Cummings,87,74,0,-2,1868000
Gaylord,94,96,-1,4,1482000
Rogahn,94,98,1,1,1340000
Schamberger,97,77,-1,-3,1494000
Hudson,74,78,3,4,1349000
Schultz,77,82,2,1,1993000
Schuster,70,75,2,4,1247000
Leannon,83,82,4,0,1363000
McLaughlin,92,94,-1,4,1288000
Reilly,75,83,0,-2,2091000
Wuckert,87,72,4,-3,1279000
Walter,74,98,-1,1,1602000
Eichmann,74,79,1,-1,1340000
Harvey,78,87,-2,1,1917000
Hettinger,83,70,2,-3,1971000
Jakubowski,93,80,3,-3,2036000
Gerhold,88,81,4,-1,2100000
Runolfsdottir,89,82,1,-3,1505000
Dooley,97,73,3,-1,2188000
Smith,89,76,4,0,1705000
Kirlin,78,82,-1,3,1948000
Murphy,87,96,-1,-3,1680000
Lowe,93,86,2,3,1886000
Frami,97,83,-2,-3,1775000
Vandervort,89,93,4,1,1129000
Kertzmann,74,91,0,-2,1624000
Schoen,82,94,0,0,1736000
Purdy,88,79,0,1,2026000
Rippin,90,93,4,1,1829000
Hauck,85,72,-3,-2,1735000
Kris,70,94,-3,-2,1283000
Ullrich,99,98,-1,-3,1164000
Dach,87,70,2,4,1396000
Kunze,87,74,-2,4,1938000
Doyle,88,71,-2,2,1114000
Ferry,79,94,-3,3,1646000
Ryan,93,82,-2,3,1811000
Lakin,96,89,-3,4,1660000
Reichert,91,95,3,-1,1707000
Bahringer,87,78,2,3,1109000
Predovic,86,76,0,4,2176000
Streich,79,85,3,4,1447000
Anderson,80,77,0,-3,1928000
Rutherford,94,83,4,0,1451000
Swaniawski,81,73,-1,-2,1580000
Shields,86,87,-3,0,1135000
Legros,86,96,2,3,1441000
Cole,73,72,4,-3,1566000
Muller,78,86,-1,-3,1522000
Wisozk,70,93,1,-2,1274000
Hermiston,76,75,-3,2,1968000
McKenzie,88,80,1,-1,2107000
Kub,76,81,1,0,1601000
Hartmann,84,91,0,2,1960000
Reichel,98,90,2,-1,1762000
Smith,77,95,3,1,1450000
Thompson,72,88,4,3,1219000
Runte,76,77,1,-3,1826000
Harvey,72,97,1,4,1303000
Bartell,86,77,-3,0,1145000
Dare,95,93,4,0,1483000
Dickens,70,96,2,4,1411000
Konopelski,70,93,1,3,1112000
Robel,72,88,-3,-1,1681000
Ward,70,98,3,-2,1370000
Batz,93,75,1,4,1107000
Padberg,71,80,-3,1,1597000
Schultz,97,89,-2,-1,1631000
Cummerata,84,89,2,-1,1150000
Bogan,85,86,0,4,1880000
Muller,93,86,4,0,1250000
Runte,96,87,0,0,1398000
Hayes,83,88,-1,2,1916000
Schoen,95,74,1,2,1947000
Harber,90,85,3,1,2020000
Zemlak,83,89,0,-3,1406000
Roberts,93,81,0,0,1764000
Crona,91,73,4,2,1771000
Kuhic,76,86,-3,3,1551000
Bode,90,97,-2,0,1626000
Harris,74,91,0,-2,1939000
Hartmann,86,86,2,3,1636000
McCullough,83,87,4,0,1403000
Torp,73,86,1,-2,1923000
Cassin,82,93,-2,4,1652000
Legros,78,92,-2,-3,1252000
Mohr,79,77,0,-2,1777000
Schultz,90,87,-1,4,1210000
Shanahan,71,81,-1,2,2094000
Trantow,95,86,-3,-2,1235000
Medhurst,86,88,-3,-3,1771000
Greenholt,92,83,-2,2,1454000
Moore,85,84,1,-2,1554000
Heaney,72,86,2,4,1680000
Dare,82,92,4,-2,1519000
O'Connell,90,99,0,3,1873000
O'Conner,94,81,4,-3,2029000
Cormier,79,74,-1,-3,1445000
Hammes,92,86,4,2,1409000
Jones,83,74,2,1,1733000
Friesen,97,87,0,1,1394000
Langosh,72,90,2,-1,1262000
Dickinson,99,91,-3,3,1673000
Reynolds,85,88,0,-1,1781000
Gleason,78,82,2,-3,1159000
Gutkowski,70,91,4,0,2100000
Ziemann,92,81,-1,2,1198000
Bartell,80,85,-1,4,1316000
Lubowitz,73,85,1,0,1389000
Kulas,97,87,-3,-2,1125000
Powlowski,74,79,3,2,1371000
Barrows,71,93,-3,-2,1907000
