NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Aufderhar,85,82,-3,2,1630000
Feil,95,75,-2,2,1529000
Gerhold,81,87,-3,3,2100000
Tillman,91,99,0,-1,1217000
Casper,79,81,-1,-3,1738000
Stamm,73,91,0,1,2017000
Ankunding,94,73,3,0,1791000
Stiedemann,97,77,-3,2,1816000
Stehr,85,91,-3,-2,1583000
Murazik,99,98,1,3,2158000
Wisozk,72,97,-3,-3,1141000
Cremin,76,73,-3,2,1972000
Strosin,80,73,2,0,2014000
Cole,90,98,-1,4,2094000
Little,97,95,2,4,1715000
Wilkinson,84,83,-2,-2,1899000
Wisozk,76,95,-1,-3,2190000
Goodwin,75,96,0,3,2054000
Ebert,85,87,-3,0,1521000
Price,79,95,4,3,1954000
Crist,81,95,-3,-3,1904000
Schultz,92,91,3,0,2160000
Kihn,93,77,4,-2,2136000
McLaughlin,71,86,3,4,1798000
Turcotte,88,86,1,-2,1607000
Raynor,75,73,-2,3,1619000
Dicki,75,70,4,0,2122000
Spencer,90,95,0,2,1889000
Doyle,82,85,2,-2,2094000
Altenwerth,95,88,0,0,1975000
Windler,96,95,0,0,1340000
Luettgen,83,80,0,2,1618000
O'Kon,82,88,3,3,2141000
Schmeler,94,90,-1,2,1837000
Grimes,96,95,2,1,1106000
Schumm,96,70,3,0,1357000
Abernathy,77,88,4,4,1233000
Reinger,75,84,-1,-1,1346000
Cassin,88,72,0,-3,1132000
Cruickshank,83,82,4,1,1132000
Blanda,76,80,4,2,1414000
Rutherford,79,81,1,1,1395000
Hamill,90,71,3,-1,1557000
Blick,94,81,3,0,2079000
Gottlieb,82,79,4,3,1768000
Emmerich,92,80,0,0,1666000
West,70,98,2,-3,1723000
Schamberger,87,76,-3,2,2115000
Gaylord,99,82,1,-1,1557000
Romaguera,84,74,1,2,1772000
Ernser,78,74,-3,0,1125000
Runte,93,85,-1,-3,1948000
Gutmann,80,84,4,-1,2112000
