NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Rippin,93,79,0,-2,1642000
Feeney,71,92,4,0,1721000
Kemmer,87,86,-3,3,1211000
Blanda,79,82,4,-2,1898000
Gislason,82,91,4,3,1315000
Will,91,88,-2,3,1685000
Schaefer,72,78,1,2,1294000
Von,77,92,3,-3,1772000
Fadel,76,95,0,1,1351000
Mann,88,84,-3,-3,1405000
O'Kon,83,87,-2,2,1476000
Harris,87,92,-1,1,1734000
Wiegand,77,87,3,4,1162000
Nikolaus,95,96,1,3,2096000
Mitchell,76,82,4,0,1648000
Powlowski,86,93,-3,-2,1183000
Moore,99,82,4,0,1473000
Kihn,71,74,3,-2,1399000
Littel,83,92,-1,1,2122000
Mohr,97,73,0,1,2117000
Kohler,90,87,4,2,1153000
Orn,88,93,1,3,1567000
Glover,70,77,1,3,1691000
Reichert,88,75,-2,-2,1774000
Towne,82,98,-3,2,1967000
Kris,79,87,1,-2,1184000
Hoeger,82,76,-2,3,1444000
Bayer,92,94,-3,2,1423000
Cole,72,78,-2,-3,1663000
Williamson,93,71,1,0,2063000
Batz,73,70,2,3,1438000
Roberts,96,85,0,-2,1879000
Wiegand,86,75,3,-1,1203000
Fritsch,89,95,-1,-1,1713000
Spencer,82,87,4,-2,1406000
Nikolaus,78,80,-3,1,2158000
Gaylord,81,83,1,-3,1473000
Howe,89,72,0,-1,1799000
Fisher,70,91,-2,-2,2066000
Herzog,94,83,-2,0,1919000
Satterfield,72,86,-2,2,1820000
Koelpin,89,94,3,0,2198000
Hamill,93,81,4,-3,1615000
Lebsack,71,92,1,0,2097000
Heidenreich,72,97,2,1,1193000
Mertz,93,79,4,3,1536000
Gorczany,95,85,1,-3,1508000
Champlin,81,78,-3,4,1269000
Harris,76,74,3,-3,1923000
Deckow,99,89,-3,2,1712000
Goyette,97,88,3,2,1165000
Lindgren,97,99,4,1,2067000
Walker,93,79,-2,4,1978000
Donnelly,75,94,-1,-2,1751000
Miller,99,83,3,4,1733000
Zemlak,88,88,0,-1,1547000
Kuvalis,80,87,0,-3,2195000
Ziemann,99,81,-2,3,1313000
Maggio,73,91,2,1,1150000
Wehner,97,83,-1,2,1403000
Ebert,81,82,0,-2,1123000
Lang,98,80,2,3,1332000
Willms,86,85,4,4,1715000
Batz,86,94,1,3,1581000
Strosin,83,89,-1,4,1629000
Quitzon,99,83,-3,-3,1527000
Goyette,75,85,0,1,1192000
Franecki,97,80,3,2,2095000
Gleichner,98,84,-3,-2,1159000
Simonis,97,96,3,-3,1526000
Rosenbaum,95,98,-3,2,1547000
Dickinson,73,80,0,-2,1120000
Becker,73,72,4,4,1416000
Champlin,98,73,1,-3,1456000
Willms,95,87,-3,-2,2051000
Rau,90,74,4,3,1980000
Reynolds,74,88,3,4,2134000
Crooks,74,80,4,2,1913000
Hirthe,74,71,-3,2,1798000
Goldner,80,95,0,-1,1935000
Kirlin,76,90,4,0,1457000
Swaniawski,98,80,-2,-3,1665000
Bednar,92,71,-1,0,1208000
Torphy,83,88,-2,2,1238000
Miller,88,70,3,-1,2194000
Gulgowski,87,96,1,4,2073000
Paucek,93,71,2,0,1100000
Goldner,86,74,1,3,1760000
Zboncak,83,80,4,1,1461000
Zboncak,81,73,4,2,1925000
Treutel,81,81,-2,-3,1526000
Wilderman,83,96,0,3,1263000
Hansen,83,71,1,-2,1141000
Carter,96,87,1,-2,1707000
Hudson,91,92,0,0,1565000
Funk,87,82,-1,4,1332000
Lueilwitz,93,95,1,-1,1717000
Connelly,98,98,3,2,1802000
Okuneva,98,86,2,-2,1373000
Collier,93,99,-1,-3,1901000
Wyman,82,97,-2,1,1456000
Pollich,71,98,2,-1,1171000
Keebler,95,73,4,3,1962000
Leannon,70,84,4,-3,1680000
Pfannerstill,83,78,-1,-1,1920000
Thiel,91,83,-1,-1,2054000
Blanda,86,95,0,3,1777000
McGlynn,70,94,-1,0,1689000
Conroy,82,78,-1,1,1668000
Hickle,91,93,-3,-3,1996000
Lemke,98,74,1,1,1878000
Harvey,82,97,3,-1,1945000
Simonis,82,89,-1,-3,1378000
Nitzsche,98,86,3,-3,1137000
Lindgren,94,93,-1,1,1492000
Hickle,75,82,1,3,1561000
Wisoky,89,88,-3,0,1327000
Aufderhar,71,91,-3,0,1377000
Lindgren,86,72,3,2,2053000
Bartoletti,75,75,-1,-1,1706000
Friesen,87,94,1,-3,2027000
Farrell,84,87,1,-1,1742000
Bergnaum,84,75,1,-1,2104000
Corkery,74,71,2,3,2092000
Swift,98,81,-1,-3,2086000
Hackett,74,99,-2,4,2170000
Torphy,81,94,4,-1,1239000
Rolfson,81,76,3,0,1260000
Lynch,94,95,2,4,1958000
Spinka,73,92,0,0,1751000
Harvey,99,75,-2,0,1638000
Schimmel,85,85,-2,4,1585000
Ebert,99,72,-3,2,1928000
Klein,99,84,-2,-3,2091000
Sanford,80,96,0,-2,2014000
Beatty,85,79,4,0,1980000
Powlowski,96,95,4,-2,1156000
Trantow,89,89,3,3,1588000
Raynor,79,97,-2,-2,1444000
Halvorson,92,95,-1,-1,2173000
Brown,88,91,-3,0,1745000
Monahan,75,85,1,4,1928000
Luettgen,74,95,3,3,1250000
Herzog,79,83,4,4,1721000
Smitham,98,82,3,-3,1735000
Shields,73,85,-2,-3,1177000
Miller,92,95,-1,-1,1473000
Bechtelar,86,84,3,-1,1412000
Howell,74,93,2,-3,2193000
Mayert,83,97,-1,1,1493000
Padberg,75,75,4,0,1732000
Johnson,83,94,-3,4,1372000
Shields,92,72,-1,-1,1529000
Maggio,71,80,1,4,1791000
Nitzsche,74,95,-3,-2,1445000
Lynch,98,93,3,3,2093000
Bernhard,74,98,-3,1,1899000
Lesch,96,85,-2,2,1462000
West,84,91,2,1,1654000
Bailey,78,96,3,-3,2051000
Frami,94,78,0,2,1259000
Runolfsdottir,87,96,4,-1,1616000
Maggio,76,83,-2,-1,1263000
Rutherford,86,72,3,-3,1864000
Ruecker,77,95,-3,-3,1326000
Walker,71,97,3,-1,2154000
Grant,72,85,2,0,1622000
VonRueden,94,87,-3,1,1242000
Kemmer,99,75,1,2,1294000
Sanford,77,94,-1,3,2186000
Osinski,72,83,3,2,1247000
Mueller,79,78,4,-2,2093000
Hackett,73,98,0,-2,1368000
Rath,86,78,3,1,1441000
Lind,85,86,2,-1,1243000
Baumbach,97,92,4,2,1551000
McCullough,77,93,-2,0,1683000
Lockman,73,95,0,3,1324000
Von,74,97,-1,2,2156000
O'Connell,83,71,0,-2,1393000
Veum,99,75,-3,-3,1722000
Johnson,83,86,-3,2,1465000
Cole,70,94,-3,1,1794000
Breitenberg,84,89,4,-2,1413000
O'Kon,93,84,-2,2,1882000
Weimann,82,71,-1,4,1400000
Hirthe,72,92,2,0,1718000
Powlowski,80,75,1,-3,2007000
Bernhard,87,84,-3,2,2029000
Christiansen,87,71,-1,-2,2038000
Will,95,86,3,-1,1655000
Greenholt,82,81,3,0,1897000
Greenholt,84,73,1,3,1507000
Bahringer,82,92,0,2,1849000
Hodkiewicz,96,90,0,1,2087000
Will,85,96,-3,-3,1868000
Marquardt,73,86,3,-2,1670000
Stehr,77,89,1,-1,1462000
McClure,84,79,1,-1,1804000
Halvorson,76,90,3,2,1837000
Zboncak,83,79,-2,3,1243000
Homenick,86,81,4,2,1807000
Collier,76,90,-1,3,1259000
Barrows,76,79,1,4,2137000
Corkery,77,76,0,-1,1194000
Hamill,73,92,-1,0,1811000
Kozey,95,73,-2,-1,1115000
Jones,77,98,2,-2,2089000
Bartoletti,85,75,4,4,1103000
Boehm,93,88,3,-2,1103000
Harris,75,79,1,0,1161000
Torphy,94,83,3,3,1563000
Nienow,80,86,-3,1,1513000
Johnston,75,86,-2,-1,1942000
Blick,85,81,3,-1,1537000
Pouros,83,90,-1,1,1789000
Kuhn,93,91,2,1,1203000
Mertz,94,96,-3,2,1159000
Klein,89,72,3,3,1912000
Roob,93,75,2,0,1983000
Harris,77,94,1,-1,1719000
Douglas,99,99,2,1,1588000
McGlynn,78,73,-1,0,1993000
Bogisich,78,93,3,-1,1750000
Lang,90,82,4,0,1751000
Padberg,93,93,-3,-1,1757000
Yost,98,95,-2,1,1833000
Beer,86,75,3,-2,1187000
Balistreri,86,97,2,4,1645000
Muller,92,77,2,-1,2021000
Reilly,75,77,-2,-3,1237000
Kuhn,85,75,4,-3,1854000
Stark,89,71,-2,-1,1660000
Mueller,77,71,2,3,1705000
Torphy,75,84,2,-2,1604000
Ratke,76,97,-2,2,2036000
Quigley,73,72,4,1,1595000
Rempel,84,84,0,-1,1958000
Altenwerth,90,81,0,3,2102000
Schulist,84,85,0,4,1255000
Yost,99,77,4,2,1900000
Heller,86,93,2,2,1788000
Fay,93,80,1,-1,2194000
Ernser,95,96,1,-2,1611000
Kassulke,72,77,2,-1,1987000
Kuhic,82,70,-3,-2,1253000
Hettinger,96,89,-3,1,1658000
Abshire,73,79,1,2,1240000
Batz,93,89,4,-3,1577000
Schroeder,83,74,2,2,2150000
Deckow,98,81,0,0,1322000
Padberg,72,90,-3,2,2115000
Fay,97,93,-3,3,1183000
Schulist,89,71,3,-1,1262000
Hintz,94,81,-1,-1,1476000
Gulgowski,86,90,1,-1,1872000
Legros,88,81,-1,3,2052000
Olson,74,85,2,-3,1731000
Marquardt,94,83,-2,1,1781000
Kohler,91,87,0,-1,2176000
Haag,78,96,2,-1,1173000
Nader,72,97,-3,-3,1730000
Bayer,71,73,0,2,2071000
Rempel,83,80,2,-1,1646000
Huels,78,70,-3,-3,1647000
Friesen,86,73,4,3,2090000
Kilback,77,76,-2,-3,2021000
MacGyver,82,79,3,4,1125000
Swift,74,93,4,-1,1764000
Steuber,76,98,-2,0,2008000
Dare,94,79,-1,-1,1738000
Leuschke,87,79,4,3,1598000
Langworth,91,86,-1,-1,1710000
Pouros,84,82,4,-1,1907000
Pfeffer,73,72,-3,3,1272000
Dietrich,88,75,2,1,2186000
Lind,72,70,1,0,1709000
Leffler,77,72,3,-2,1746000
Abernathy,76,93,3,-3,1343000
Hagenes,76,77,0,0,2189000
Schroeder,83,77,3,-3,1184000
Stoltenberg,95,97,-1,-1,1658000
Douglas,79,84,4,1,1900000
Miller,91,76,2,0,1491000
Christiansen,72,84,-3,3,2015000
Littel,94,84,-3,0,1952000
West,98,73,3,-3,1533000
Huel,82,90,2,-1,1709000
Klocko,79,77,2,4,2041000
Grady,88,81,-1,3,1808000
Carter,95,98,-3,4,1361000
Lueilwitz,88,74,-2,3,1828000
Rodriguez,81,82,2,0,1572000
West,87,88,4,1,1328000
Howell,81,78,0,-1,1456000
