NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Wisoky,76,72,4,1,2163000
Cormier,79,86,-1,3,1932000
Shields,99,70,-2,2,2112000
Ankunding,94,79,-2,-2,1545000
Leannon,84,87,1,2,1410000
Luettgen,86,73,-3,4,1709000
Zulauf,87,74,-3,0,1552000
Lindgren,92,97,1,2,1871000
Mosciski,70,93,-3,3,1177000
Kovacek,78,78,-1,-2,2067000
Jacobs,90,91,-2,-2,2024000
Labadie,98,89,0,3,1501000
Skiles,95,76,0,-3,1553000
Kub,89,88,3,-3,1338000
Kovacek,92,73,-3,0,2044000
Beatty,78,93,3,1,1442000
Nienow,74,83,-2,-2,1558000
Gottlieb,94,81,4,-2,1365000
Wilderman,80,81,-2,-2,1391000
Pfannerstill,89,87,4,2,1416000
Gorczany,77,92,-2,0,1770000
Yost,81,84,3,-3,1378000
Conn,82,90,2,1,1323000
Rosenbaum,81,72,2,1,2011000
Ruecker,78,78,-1,0,1144000
Roob,79,95,2,-1,1456000
O'Conner,77,92,1,0,1462000
Block,86,74,-2,2,1139000
Considine,70,76,-2,1,1751000
Bayer,77,98,4,1,1441000
Ferry,78,81,1,-3,2136000
Feest,76,92,3,0,1271000
Bechtelar,98,95,-3,4,1614000
Haag,78,96,-1,2,1465000
Cronin,76,97,-3,-1,1349000
Schmidt,77,71,4,-1,2051000
Jakubowski,84,76,-1,-1,1747000
Flatley,88,91,-3,2,1906000
Runte,95,98,3,-1,1615000
Hackett,97,97,1,-3,1557000
Beatty,99,97,2,1,1158000
Windler,87,93,4,-3,1340000
Wolff,88,74,-2,2,1434000
Mann,98,94,1,2,1974000
Lowe,72,79,3,-2,1526000
Hintz,77,85,-1,4,1503000
Turner,80,75,1,3,1970000
Dicki,84,97,2,-3,1379000
White,85,76,4,1,1245000
Berge,77,90,3,1,1952000
Rempel,97,90,0,-1,2120000
Pouros,74,93,4,3,1130000
McKenzie,86,91,-1,2,1301000
Smith,70,71,3,0,1883000
Connelly,73,83,0,-1,1274000
Koch,86,97,-3,0,1260000
Collins,74,98,1,-2,2120000
Kautzer,86,97,3,3,1259000
Schuster,87,70,-2,-3,2196000
Leannon,90,70,3,2,1437000
Shields,90,84,1,0,1584000
Walker,83,70,-1,4,1602000
Glover,82,99,-3,2,1933000
Jacobi,95,91,-3,-2,1454000
Reilly,73,92,1,4,1756000
Goodwin,90,71,-3,1,1782000
Cartwright,89,84,3,-2,2198000
Nicolas,78,97,4,1,1831000
Little,90,96,1,2,1198000
Wiza,87,85,-3,3,1509000
