NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Runolfsdottir,82,77,-3,-2,1600000
Goldner,91,88,-2,0,1440000
Lindgren,78,97,1,2,1677000
Wunsch,80,86,2,3,1265000
Schoen,91,73,1,1,1891000
Watsica,75,72,1,-3,1251000
Bosco,90,74,2,-1,2136000
Mayert,98,80,-2,4,2185000
Lindgren,72,74,-1,-3,2152000
Abbott,71,88,1,0,1759000
Kirlin,96,99,0,-3,1532000
Paucek,89,75,0,-1,1271000
Bechtelar,84,83,0,3,1247000
Sanford,73,96,2,2,1836000
Wolff,95,88,0,3,1148000
Nader,99,89,-3,0,1471000
Kessler,83,93,3,4,1906000
Jacobson,80,93,-3,-3,1982000
Kunze,70,96,2,-2,1926000
Hayes,77,94,3,-3,1206000
Schmidt,86,89,2,2,1731000
Nicolas,84,81,2,1,1111000
Quitzon,97,97,0,-3,1227000
Gorczany,81,77,-3,0,1465000
Greenholt,94,73,4,-3,1832000
Gulgowski,99,78,2,4,2092000
Konopelski,72,79,-3,-3,2092000
Schmeler,90,88,1,2,1841000
Reilly,90,81,3,2,2107000
Predovic,76,93,2,4,1470000
Anderson,73,74,-1,-3,2079000
Runolfsson,75,95,3,1,2156000
Stiedemann,88,84,1,-1,1245000
Hilpert,87,85,1,3,1697000
Waters,72,73,-1,-3,1245000
Hayes,72,90,4,4,1939000
Ritchie,89,87,0,0,2177000
Dare,91,98,4,-3,1448000
Pouros,90,85,3,4,1888000
Marvin,76,82,-3,1,1986000
Schaefer,79,80,-3,-1,1661000
Waters,95,82,4,4,1519000
Hettinger,91,95,4,1,1977000
Willms,92,70,1,-2,1215000
McCullough,79,86,0,-1,1223000
Pfeffer,79,87,1,4,1608000
Beer,90,72,4,-1,1929000
Heaney,76,73,2,-2,1923000
Gusikowski,71,90,-3,-3,1519000
Wiza,99,95,1,-3,1762000
Hauck,85,97,0,0,1687000
Yundt,70,85,-1,2,2104000
Runolfsson,79,94,2,-3,1115000
O'Kon,85,72,0,0,1776000
Stroman,71,90,-2,1,1862000
Treutel,71,96,3,3,2173000
Fahey,92,97,-1,3,1306000
Nicolas,73,88,4,-3,1163000
Simonis,98,86,4,4,1421000
MacGyver,84,73,-3,-2,1398000
Sanford,79,86,0,4,1288000
Gaylord,88,77,-3,4,1440000
Schinner,87,87,-1,0,1507000
Russel,77,77,-2,-1,1149000
Metz,88,83,-2,-2,1912000
Lockman,80,87,4,-3,1697000
Crooks,95,73,-2,3,2090000
Willms,72,89,1,0,1492000
Jones,72,78,-1,4,1323000
Bins,87,87,3,1,2126000
Bradtke,99,89,4,0,1632000
Kuphal,83,77,-3,0,1453000
Hamill,82,72,3,2,1546000
Murray,79,74,3,3,1836000
Pfannerstill,84,87,-1,1,1655000
Upton,94,91,1,3,1261000
Balistreri,99,72,-2,2,2068000
Pollich,79,98,4,2,1703000
Brekke,86,84,-2,0,2122000
Gottlieb,85,91,0,3,1213000
Hickle,99,81,1,4,1787000
Tremblay,89,90,-3,-2,1105000
McKenzie,90,78,0,-1,1840000
Farrell,92,77,3,3,2050000
Hermann,75,93,-3,-2,1625000
Denesik,84,76,-1,4,1771000
Simonis,73,98,-1,-1,1593000
Kihn,72,88,1,-1,1867000
O'Conner,89,75,3,1,1247000
Johnson,84,95,0,-3,1180000
Witting,93,83,-2,-1,1740000
Schuster,71,81,3,3,1871000
Hirthe,98,89,4,-1,1190000
Bashirian,70,80,1,1,2077000
Nikolaus,77,81,-1,-2,2186000
Marvin,92,94,4,4,1518000
Moore,71,72,1,-1,1924000
Yundt,79,99,-1,3,1133000
Wisoky,97,81,1,-1,1599000
Gorczany,76,87,3,0,2137000
Bailey,87,88,-1,3,2028000
Lehner,88,73,4,1,1963000
Gottlieb,73,88,1,-2,1603000
Fadel,99,87,2,-2,1176000
Kshlerin,88,99,0,-3,1426000
Kemmer,88,99,-3,1,1861000
Cummerata,99,98,2,2,1889000
Jakubowski,87,78,-2,0,1222000
Torp,88,86,-3,-2,2129000
Pagac,82,95,-3,3,1185000
Cassin,90,71,4,4,1777000
Rosenbaum,82,70,4,-1,1685000
Rau,76,86,2,-3,1210000
Dickens,78,86,-2,3,2080000
Renner,95,72,-1,-1,1872000
O'Connell,96,73,-1,2,2042000
Reilly,82,79,-2,4,1262000
Mosciski,84,72,-2,2,1204000
Gorczany,89,91,-2,-2,1162000
Leffler,98,82,-3,1,1671000
Champlin,96,75,0,-2,2141000
Ward,85,74,2,2,1291000
Miller,72,97,1,2,1978000
Hermann,78,80,-3,2,1526000
Wuckert,87,78,1,3,1796000
Tremblay,75,87,4,3,1234000
Willms,93,89,3,-1,1713000
Herman,89,84,3,3,1779000
Labadie,84,78,-3,-1,1766000
Jakubowski,76,98,-2,3,1723000
Rodriguez,97,81,0,4,1192000
Marvin,95,81,-3,-3,1600000
Gutkowski,94,99,-2,1,1924000
Daugherty,83,92,1,-2,1792000
Larson,90,95,3,-1,1138000
Dooley,99,97,-3,-3,1650000
Rogahn,77,72,-1,3,2082000
Quitzon,93,89,1,-2,1964000
Walter,79,88,-3,4,1902000
Wisozk,75,93,3,-1,1308000
Wisoky,75,98,3,0,1400000
Carroll,76,76,-2,3,1107000
Collins,97,87,0,-3,1184000
Mills,88,98,-3,-3,1911000
Botsford,96,70,0,-3,1442000
Schumm,92,75,4,-1,2012000
Welch,98,72,-1,2,1164000
Runolfsson,99,92,2,4,2011000
Kuphal,76,71,2,4,1892000
Zboncak,93,86,-3,4,1423000
Hahn,91,82,0,4,1563000
Harber,85,76,-2,-3,1952000
Bogan,89,79,2,4,1780000
Bergnaum,94,92,0,0,1835000
Lakin,71,73,2,0,1653000
Purdy,72,86,1,1,1546000
Senger,91,73,0,-2,2076000
Koelpin,93,70,-3,4,1919000
Davis,76,89,2,0,2031000
Kunde,87,82,2,2,1399000
Abernathy,90,73,-2,4,2095000
Monahan,97,91,-3,-1,2013000
Heidenreich,70,97,1,2,1181000
Hintz,83,89,-3,-3,1205000
McCullough,76,88,2,-1,1967000
Bruen,70,83,2,-2,2172000
Mayer,91,91,-3,2,1563000
Heathcote,89,75,-1,-2,1781000
Koss,89,95,-2,4,1971000
Satterfield,72,79,3,3,1788000
Parisian,86,94,-1,-3,2141000
Durgan,76,76,-3,4,2032000
Hackett,75,91,3,-2,1248000
Stamm,71,98,3,4,1330000
Watsica,91,82,1,1,1633000
Durgan,87,81,4,4,1424000
Parker,75,92,2,3,1300000
Keeling,91,95,1,1,2023000
Moore,74,89,1,3,2048000
Weimann,87,72,-3,1,1660000
Sauer,79,85,2,2,1305000
Ritchie,75,98,-1,-3,1824000
Hoppe,90,79,-2,-1,1794000
Predovic,93,78,1,-2,2089000
Rath,77,96,2,1,1622000
Donnelly,73,76,-3,0,1201000
Kautzer,81,78,0,3,2179000
Rohan,79,87,2,4,1614000
Greenfelder,96,81,-2,-3,1199000
Ullrich,74,90,2,-3,1638000
Gleason,88,99,2,2,1744000
Stamm,89,88,0,3,1622000
Jones,71,92,2,-2,1287000
Auer,93,85,4,-2,1178000
Maggio,77,72,-1,2,1910000
Barton,83,83,2,4,1148000
Rau,84,72,3,2,1903000
Tromp,91,99,4,0,1498000
Denesik,94,87,3,1,2031000
Vandervort,78,72,1,3,1462000
Cole,79,90,-2,-3,1819000
Hamill,72,97,2,0,1152000
Parisian,82,97,0,2,1796000
Schoen,73,83,3,2,1427000
Bernhard,92,71,3,2,1141000
Armstrong,72,93,1,1,1507000
Kulas,98,72,2,-1,1311000
Will,75,91,3,-1,1835000
Robel,92,81,3,-2,1518000
Raynor,74,81,3,-1,1786000
Connelly,98,92,-3,-1,1613000
Carroll,80,90,-2,3,1410000
Yost,80,84,2,-2,1222000
Sauer,98,91,3,-3,1131000
Schaden,72,89,-2,-2,1120000
