NAME,TRANSITSCORE,WALKSCORE,VALUEINCREASEPAST,VALUEINCREASEFUTURE,MEDIANVALUE
Ritchie,96,72,-2,0,1991000
Kling,92,93,4,3,1214000
Leffler,89,76,-1,1,1645000
Bernhard,81,87,2,2,1854000
Mann,93,81,1,-1,2105000
Langosh,73,70,1,-2,1684000
Kunze,85,95,-2,-2,1435000
Collins,83,90,0,2,1140000
Cummerata,78,91,1,1,1866000
Reynolds,74,70,3,-1,1524000
Goodwin,83,91,4,4,2022000
Herzog,80,70,3,3,2181000
Maggio,75,98,4,-1,1883000
Rath,73,71,-1,0,1639000
Stiedemann,87,76,-2,4,1318000
Olson,89,70,-2,-3,1703000
Anderson,72,89,-2,-1,2151000
Langworth,97,74,-1,0,1704000
Gerhold,89,92,-1,-3,1764000
Schultz,72,90,4,-1,1432000
McCullough,91,83,2,0,1814000
MacGyver,96,91,3,0,1359000
Brown,90,77,0,3,1157000
Kilback,88,90,-1,-1,1195000
Rempel,76,89,0,-1,1208000
Monahan,94,80,0,4,1463000
Boyle,72,98,-2,-1,1546000
Hintz,77,82,2,1,1972000
Olson,71,97,1,-2,1387000
Larkin,89,92,2,4,1539000
Pollich,74,93,-3,-3,1427000
Sporer,76,73,-1,-2,1251000
Effertz,73,98,3,-3,1193000
Runolfsdottir,91,92,0,-2,1976000
Harvey,88,90,1,4,1427000
Bauch,72,88,-3,2,2170000
Daugherty,74,99,-3,0,1939000
Barrows,91,76,2,2,1255000
King,81,89,1,3,1712000
Feeney,70,86,4,1,1154000
Ullrich,93,93,4,2,1546000
Runte,86,90,-2,0,1209000
Flatley,73,89,4,2,2178000
Beahan,76,71,3,-1,1163000
Zulauf,85,74,1,4,1973000
Smith,76,79,-3,1,2090000
Bosco,72,77,3,2,1373000
O'Conner,75,87,3,2,1676000
Von,76,71,1,-2,1110000
Russel,84,88,4,-3,1104000
Green,99,93,2,-2,1132000
Heidenreich,95,96,1,-1,2058000
Ondricka,90,85,4,0,1660000
Dooley,75,89,3,-2,1133000
Botsford,86,78,-1,2,2175000
Ledner,86,72,3,-2,1472000
Lesch,90,85,-1,2,1572000
Quigley,93,74,-1,3,1580000
Crooks,70,88,-3,4,1297000
Hickle,82,95,-3,-3,2120000
Cole,89,96,1,1,1981000
Barton,85,78,2,1,1505000
Windler,96,78,-2,3,1618000
Beahan,71,93,-1,-2,1906000
Douglas,82,79,1,-2,2083000
Bailey,76,82,2,4,1761000
Douglas,76,74,3,3,1175000
Stark,83,90,2,-1,1569000
Wolf,96,81,1,-3,2024000
Willms,77,98,2,-1,1102000
Hudson,94,93,-3,0,1481000
Johnson,91,82,2,0,2055000
Marvin,73,76,3,0,1742000
Kilback,82,81,4,-3,1465000
Gaylord,72,98,-2,3,1790000
Stoltenberg,81,98,0,0,1477000
McKenzie,70,98,4,-3,1404000
Emard,75,79,4,4,1953000
Dietrich,82,93,4,3,1780000
Ziemann,95,91,-2,-1,1478000
Lakin,77,95,-1,-3,2027000
Roberts,75,91,0,0,1746000
Howe,80,71,4,-3,1819000
McKenzie,85,97,4,4,1445000
Douglas,92,96,-1,3,2119000
Stehr,99,87,-1,3,1524000
Bednar,95,74,-1,1,2153000
Funk,84,99,-2,2,1486000
Bradtke,79,89,1,-3,1602000
Murazik,93,81,3,-2,2035000
Kuhlman,93,74,3,1,1754000
Bernhard,76,85,1,-1,2114000
Larson,94,76,0,3,2092000
Bergstrom,83,75,2,4,1193000
Schroeder,99,72,0,4,1824000
Spinka,80,83,3,2,1537000
Goldner,87,81,-3,4,1553000
Kiehn,82,79,-2,1,1154000
Wuckert,80,71,-3,2,1167000
Ortiz,90,80,1,3,1207000
Jenkins,72,96,1,-2,1898000
Ryan,90,85,2,-2,1398000
Fay,70,98,-2,-3,1879000
Weber,90,73,-1,3,1944000
Bartell,76,98,3,0,1729000
Brakus,90,92,-1,0,1727000
Reynolds,89,70,-3,3,1301000
Kreiger,78,87,-3,0,2146000
Dach,93,72,3,1,1339000
Dickens,93,74,2,3,1342000
Fadel,90,78,-2,2,1800000
Hessel,87,71,2,4,1310000
Ward,79,85,3,3,1681000
Larson,80,86,2,0,1130000
Hermann,84,87,-3,2,1212000
Bergstrom,94,93,2,2,1729000
Beier,72,82,-3,2,1697000
Dietrich,99,79,1,1,1446000
Barton,81,70,3,2,1497000
Hintz,89,94,3,3,1772000
Stokes,97,76,1,1,1274000
Cummerata,85,87,4,0,1678000
Wehner,93,70,-1,-3,1589000
Schroeder,96,89,-2,3,1455000
Lakin,79,89,3,-2,2011000
Carter,88,95,1,-3,1349000
Doyle,98,70,4,4,1166000
Monahan,92,84,-3,-2,1302000
Howell,91,75,1,0,1774000
Walter,99,93,0,1,2007000
Dibbert,82,79,0,2,1421000
Langosh,76,82,-2,4,1127000
Beer,99,73,2,-3,2194000
Mann,82,90,2,3,1459000
D'Amore,95,97,0,-2,1208000
Ratke,80,94,-2,-3,1232000
Hegmann,85,92,-3,4,1321000
Hartmann,78,95,-2,-3,1727000
Maggio,70,81,2,-2,1118000
Torp,74,72,2,-2,1508000
Doyle,80,75,1,4,1926000
Graham,88,89,-2,-2,1243000
West,89,95,-3,1,1691000
Rath,70,79,4,4,1454000
Walker,81,84,2,-3,1545000
Kris,96,77,3,-3,2121000
O'Keefe,75,78,3,-1,1900000
Medhurst,72,84,3,-3,1382000
Romaguera,75,79,1,1,1749000
Renner,70,75,2,4,1799000
Runolfsdottir,87,92,-3,-1,2041000
Mayer,74,89,4,0,1186000
Bergnaum,86,98,2,-3,1866000
Corkery,82,98,-3,1,1390000
Turcotte,80,74,-3,2,1796000
Ebert,70,72,2,-2,1164000
Lebsack,77,79,-3,0,2001000
Beier,92,70,1,3,1535000
Zieme,72,91,4,3,2130000
Raynor,73,95,0,1,1555000
Larson,87,71,-1,1,1826000
Paucek,90,73,-2,2,1285000
Dooley,95,94,2,-1,1753000
Schumm,87,81,2,2,1711000
D'Amore,83,91,-2,0,1458000
McCullough,96,75,-3,-3,1175000
Robel,78,98,0,2,1273000
Hayes,94,83,1,3,2103000
Weber,70,91,3,-3,2015000
Johnson,88,72,3,-2,1266000
Strosin,70,76,-2,4,1870000
Wisozk,83,91,3,0,1605000
Kris,77,92,-1,-2,1540000
Goyette,94,95,-1,3,1172000
Rolfson,90,84,3,1,1392000
Marvin,77,72,0,-2,1118000
Rice,81,85,0,-3,2009000
Nikolaus,97,71,1,-1,1780000
Rolfson,81,79,2,2,1967000
Parker,75,86,1,-2,1428000
Cormier,83,76,-1,2,1500000
Koch,78,70,3,-1,1777000
Moore,92,95,3,-1,1849000
Purdy,91,92,4,-3,1717000
Kub,86,84,0,-2,1780000
Luettgen,98,74,4,-2,1674000
Gleichner,99,83,1,-1,1656000
Graham,75,75,3,2,1168000
Baumbach,95,96,3,0,1472000
Spencer,96,84,0,-2,1832000
Reilly,93,78,4,2,1564000
Gulgowski,83,79,0,-2,1902000
Wilkinson,85,74,1,-2,1517000
Homenick,79,98,3,4,1768000
Bernier,83,71,0,1,1971000
Wuckert,79,78,-2,4,1837000
Oberbrunner,71,75,3,2,1999000
Nader,89,87,3,2,1706000
Friesen,83,88,-3,1,1609000
Crooks,90,85,1,0,1581000
Mayer,95,95,-1,1,2136000
Orn,70,98,-3,1,2006000
Borer,85,97,-2,-2,1379000
Keebler,82,92,-2,0,1700000
Herman,96,97,3,3,1358000
Bechtelar,84,70,1,-3,1719000
Bogisich,77,93,1,-2,2164000
Ortiz,70,72,-1,1,1713000
Cartwright,77,85,4,-1,1164000
Rippin,89,90,-1,-1,1181000
Harris,74,75,0,-1,2057000
Price,79,88,0,1,1295000
Rowe,95,82,4,-1,1953000
O'Reilly,87,73,-3,-2,1334000
Christiansen,72,93,2,1,1557000
Trantow,80,88,-3,0,2157000
